,Name,wb97m-v-DFT-forward,wb97m-v-DFT-reverse,wb97m-v-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction,b97m-v-DFT-forward,b97m-v-DFT-reverse,b97m-v-DFT-reaction,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,rsx-qidh-DFT-forward,rsx-qidh-DFT-reverse,rsx-qidh-DFT-reaction,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction,m062x-DFT-forward,m062x-DFT-reverse,m062x-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction,pbe0-dh-DFT-forward,pbe0-dh-DFT-reverse,pbe0-dh-DFT-reaction,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction,pbe-qidh-DFT-forward,pbe-qidh-DFT-reverse,pbe-qidh-DFT-reaction,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
20,rxn_1469,7.567,58.681,-51.114,21.969,56.018,-34.049,16.36,61.11,-44.75,5.943,55.203,-49.26,9.388,53.314,-43.926,10.374,68.54,-58.165,22.683,45.207,-22.524,14.992,57.428,-42.436,4.839,56.259,-51.419,24.044,49.978,-25.934,5.506,64.247,-58.741,9.59,51.755,-42.165,9.694,53.614,-43.92,27.656,56.629,-28.972,8.818,59.337,-50.519,12.252,60.028,-47.776,8.534,62.783,-54.25,7.024,59.286,-52.261,11.468,53.944,-42.476,13.173,51.515,-38.342,22.817,6.663300731777403,23.333000000000006,5.345079829052825,36.217,10.089234165683735
21,rxn_1479,16.214,62.424,-46.21,32.65,57.167,-24.517,25.962,63.338,-37.376,15.492,59.751,-44.259,19.007,55.822,-36.814,20.804,71.991,-51.187,34.055,45.455,-11.401,26.226,59.53,-33.304,14.226,59.659,-45.433,35.231,50.512,-15.281,15.389,68.018,-52.629,19.485,56.634,-37.149,19.54,57.456,-37.916,38.599,57.316,-18.717,18.362,62.367,-44.005,22.976,62.66,-39.684,17.508,66.424,-48.916,17.075,62.488,-45.413,20.484,57.854,-37.37,23.252,53.416,-30.164,24.372999999999998,7.2556838139416415,26.536,5.986496654972758,41.227999999999994,11.701644319338877
22,rxn_1480,9.021,55.199,-46.178,27.103,52.568,-25.466,19.851,57.547,-37.695,8.865,51.971,-43.107,11.864,49.177,-37.313,13.304,64.219,-50.915,29.484,42.229,-12.745,20.046,53.716,-33.669,7.419,52.193,-44.775,30.199,46.663,-16.465,7.5,59.802,-52.302,13.366,48.636,-35.27,12.464,49.704,-37.241,33.185,53.013,-19.828,11.446,55.281,-43.835,16.083,56.008,-39.925,10.292,59.339,-49.047,9.472,54.996,-45.524,14.348,50.568,-36.219,16.847,47.719,-30.872,25.766000000000002,8.01873037906284,21.989999999999995,5.093626031361983,39.557,11.176771610306233
23,rxn_1495,7.054,59.37,-52.316,23.125,56.446,-33.32,16.742,61.434,-44.692,5.709,56.416,-50.707,9.785,53.864,-44.08,10.832,69.475,-58.642,25.013,45.733,-20.72,16.446,58.351,-41.905,4.787,56.707,-51.919,25.822,50.504,-24.682,5.68,65.132,-59.452,9.602,53.049,-43.447,9.515,54.197,-44.683,28.771,57.114,-28.343,8.816,59.825,-51.009,13.223,60.945,-47.722,8.225,63.625,-55.4,7.533,60.163,-52.63,11.622,55.175,-43.553,14.081,52.041,-37.959,23.984,7.280611066567942,23.741999999999997,5.3941248068225995,38.732,10.788708305080146
24,rxn_1536,13.26,48.827,-35.567,23.389,46.695,-23.306,21.031,53.62,-32.589,11.056,38.655,-27.599,12.261,42.229,-29.968,12.494,62.348,-49.854,23.257,28.118,-4.862,14.76,45.154,-30.395,9.082,45.773,-36.691,23.787,36.882,-13.096,8.336,56.242,-47.906,14.125,35.618,-21.493,13.245,44.331,-31.086,27.245,48.327,-21.082,13.018,51.098,-38.08,12.977,49.258,-36.281,14.67,53.615,-38.945,9.074,48.771,-39.697,15.041,42.405,-27.363,15.485,38.583,-23.098,18.909,5.42110369685964,34.230000000000004,7.934379798499823,44.992,10.877563189282888
25,rxn_1606,15.533,51.982,-36.449,25.894,50.356,-24.462,23.296,56.793,-33.498,14.137,42.985,-28.847,15.49,46.258,-30.768,15.322,66.058,-50.736,26.671,32.706,-6.035,17.98,49.645,-31.665,11.759,49.254,-37.495,26.854,41.252,-14.398,11.434,60.058,-48.624,16.771,40.26,-23.489,15.547,47.823,-32.276,29.808,52.266,-22.458,15.575,54.508,-38.933,16.194,53.549,-37.356,16.855,56.72,-39.865,12.432,52.965,-40.533,17.692,47.044,-29.352,18.701,42.703,-24.002,18.374000000000002,5.373945065386273,33.352000000000004,7.612875574522278,44.70099999999999,10.697178026667151
26,rxn_1708,15.886,51.415,-35.529,26.582,48.784,-22.203,23.846,55.876,-32.03,13.019,40.327,-27.309,14.968,44.323,-29.356,16.009,65.093,-49.084,26.098,29.389,-3.291,17.874,47.122,-29.248,11.84,48.001,-36.16,26.828,38.555,-11.727,11.506,58.841,-47.334,15.731,37.059,-21.328,16.104,46.92,-30.816,30.618,50.507,-19.89,16.005,53.528,-37.524,16.085,51.45,-35.366,17.316,56.192,-38.876,11.989,51.041,-39.052,16.832,44.524,-27.691,18.193,40.433,-22.24,19.112,5.558110673648584,35.70400000000001,8.29726422890163,45.793000000000006,11.103744698358108
27,rxn_1779,14.637,49.289,-34.652,24.963,46.927,-21.964,22.394,53.876,-31.482,12.405,38.457,-26.052,13.481,42.315,-28.835,13.995,62.795,-48.8,24.972,27.975,-3.002,16.341,45.261,-28.92,10.45,46.046,-35.597,25.426,36.9,-11.474,9.68,56.579,-46.899,15.466,35.467,-20.001,14.874,44.833,-29.959,28.881,48.566,-19.685,14.41,51.444,-37.033,14.413,49.416,-35.003,16.004,54.021,-38.017,10.341,48.917,-38.576,16.287,42.485,-26.199,16.792,38.588,-21.797,19.201,5.5187983570033765,34.82,8.100565349178773,45.797999999999995,11.089393421193064
28,rxn_1886,19.174,55.677,-36.503,30.762,53.27,-22.508,27.348,59.919,-32.571,17.46,47.223,-29.763,19.595,49.522,-29.927,19.492,69.427,-49.934,31.323,34.807,-3.484,22.377,52.406,-30.029,15.344,52.782,-37.438,31.754,43.794,-12.04,15.274,63.529,-48.255,19.601,44.328,-24.727,19.238,51.399,-32.161,35.134,55.387,-20.253,19.637,58.072,-38.435,20.444,56.58,-36.136,20.72,60.43,-39.71,16.377,56.206,-39.829,20.478,50.878,-30.4,22.917,45.636,-22.719,19.86,5.835927865386961,34.620000000000005,7.758065998823757,46.449999999999996,11.198872198386294
29,rxn_2260,8.93,58.175,-49.246,23.474,55.428,-31.954,19.203,61.347,-42.144,8.163,51.163,-43.0,9.933,52.348,-42.414,10.689,70.672,-59.982,26.777,39.002,-12.225,16.545,55.244,-38.7,5.469,56.092,-50.624,26.007,47.016,-21.009,5.607,65.47,-59.863,12.104,48.19,-36.086,10.455,54.623,-44.168,27.678,57.335,-29.656,9.48,60.319,-50.839,13.037,59.048,-46.011,11.055,62.113,-51.058,7.448,58.69,-51.243,12.746,54.823,-42.077,14.561,48.905,-34.344,22.209,7.03113235227891,31.669999999999995,7.010156453505983,47.757,11.96771345735552
30,rxn_2270,8.258,54.16,-45.902,23.609,52.779,-29.169,18.636,57.89,-39.254,8.339,47.465,-39.126,9.954,49.035,-39.081,9.182,66.173,-56.991,28.738,38.138,-9.399,16.764,52.467,-35.703,4.74,52.146,-47.407,27.157,45.268,-18.111,4.342,61.015,-56.673,11.345,44.23,-32.885,8.823,50.049,-41.225,27.982,54.59,-26.609,8.6,56.284,-47.684,12.774,55.648,-42.873,10.354,58.085,-47.731,6.957,54.907,-47.95,12.154,50.366,-38.212,15.079,46.231,-31.153,24.396,7.680989733888808,28.035000000000004,6.369165425787954,47.592,11.869840343448068
31,rxn_2310,16.838,57.091,-40.253,28.562,52.275,-23.713,24.501,57.999,-33.498,11.355,46.402,-35.047,16.925,51.167,-34.243,18.221,69.36,-51.139,28.613,34.83,-6.217,20.736,52.195,-31.459,12.091,54.82,-42.729,29.157,43.005,-13.848,13.675,64.957,-51.282,13.313,43.404,-30.09,16.286,52.285,-36.0,32.261,53.131,-20.87,16.861,58.966,-42.106,18.554,56.679,-38.125,18.625,60.32,-41.695,14.399,57.515,-43.116,15.06,49.275,-34.215,19.85,46.612,-26.762,20.906000000000002,6.1582856660548675,34.53,7.960104617138487,45.065,11.396916777310755
32,rxn_2326,20.055,56.992,-36.936,33.796,54.138,-20.342,29.72,60.076,-30.356,19.219,50.756,-31.537,20.594,51.164,-30.57,21.039,69.173,-48.134,36.026,38.702,-2.676,26.353,54.636,-28.283,15.735,55.094,-39.36,35.948,46.213,-10.265,16.045,64.133,-48.087,21.072,48.358,-27.287,20.368,53.138,-32.77,38.576,55.693,-17.117,20.185,58.922,-38.737,23.244,58.073,-34.829,22.405,60.757,-38.352,17.878,57.605,-39.727,22.267,53.594,-31.326,24.85,47.945,-23.095,22.841,6.896344988279546,30.471000000000004,6.703745739274582,45.458,11.508551265083396
33,rxn_2334,12.333,56.653,-44.319,25.141,54.705,-29.564,21.534,60.387,-38.853,12.015,50.152,-38.138,12.818,51.279,-38.462,12.748,69.53,-56.782,27.714,38.523,-10.808,18.187,54.781,-36.594,8.595,54.809,-46.215,27.427,46.637,-19.21,8.239,64.202,-55.963,15.026,47.256,-32.229,12.992,53.236,-40.244,29.582,56.927,-27.346,12.336,59.043,-46.706,15.142,58.328,-43.186,14.418,60.721,-46.303,10.087,57.681,-47.594,15.811,53.935,-38.124,16.961,47.988,-31.027,21.343,6.4675836055467295,31.006999999999998,6.845731980200278,45.974,11.263918180002438
34,rxn_2468,20.372,55.003,-34.631,33.758,51.995,-18.237,29.639,57.852,-28.213,19.038,48.4,-29.362,20.701,49.187,-28.485,21.284,67.1,-45.816,35.523,36.496,-0.973,26.073,52.387,-26.313,16.083,53.125,-37.042,35.619,43.964,-8.345,16.331,62.135,-45.804,20.965,46.148,-25.183,20.708,51.224,-30.517,38.476,53.402,-14.925,20.537,56.96,-36.423,23.154,55.908,-32.754,22.682,58.679,-35.998,17.946,55.565,-37.619,22.346,51.312,-28.966,24.802,45.915,-21.113,22.393,6.723435370912856,30.603999999999992,6.7457642403838936,44.843,11.375341329638838
