;Type;prediction 4923
243;Diels-Alder;8.049674923735367
244;Diels-Alder;7.26805559126973
245;Diels-Alder;7.709821927919975
246;Diels-Alder;6.552297524247097
247;Diels-Alder;6.797311319196053
248;Diels-Alder;6.670425187516059
249;Diels-Alder;6.7541154015572875
250;Diels-Alder;7.214819800674647
251;Diels-Alder;7.569362764215698
252;Diels-Alder;6.676078414060794
253;Diels-Alder;6.757583008118725
254;Diels-Alder;7.491791791074754
255;Diels-Alder;6.782824815369139
256;Diels-Alder;7.1503197348573
257;Diels-Alder;6.680906217502
258;Diels-Alder;6.781230800561005
259;Diels-Alder;6.819602026073045
260;Diels-Alder;6.730473973157612
261;Diels-Alder;6.819338995614171
262;Diels-Alder;7.497218854806521
263;Diels-Alder;7.086805916027516
264;Diels-Alder;6.801110779425865
265;Diels-Alder;6.881840986523839
266;Diels-Alder;6.934254623010477
267;Diels-Alder;6.9685169588293
268;Diels-Alder;7.709940322054965
269;Diels-Alder;6.5018148147602615
270;Diels-Alder;6.752907105491531
271;Diels-Alder;7.464295151999334
272;Diels-Alder;7.59956502652113
273;Diels-Alder;7.308005599992073
274;Diels-Alder;6.651058381357061
275;Diels-Alder;7.2649051105692894
276;Diels-Alder;7.738170813301966
277;Diels-Alder;7.981490060071383
278;Diels-Alder;6.452226096999844
279;Diels-Alder;6.834886314228772
280;Diels-Alder;6.767188740639529
281;Diels-Alder;6.98121389714764
282;Diels-Alder;6.554519520247614
283;Diels-Alder;7.29921523237726
284;Diels-Alder;7.13042317131321
285;Diels-Alder;6.579547430168579
286;Diels-Alder;6.753309390754809
287;Diels-Alder;6.90783005681611
288;Diels-Alder;6.8943285605748335
289;Diels-Alder;6.845461893254553
290;Diels-Alder;6.673585659281375
291;Diels-Alder;6.82543370357798
292;Diels-Alder;6.6783433648054356
293;Diels-Alder;7.211657136497448
294;Diels-Alder;8.462755900645398
295;Diels-Alder;9.381220524668478
296;Diels-Alder;6.652866726852107
297;Diels-Alder;6.714544142554622
298;Diels-Alder;6.686508137501269
299;Diels-Alder;8.245990842238207
300;Diels-Alder;7.351071136003107
301;Diels-Alder;6.739713155989686
302;Diels-Alder;6.785085549983981
303;Diels-Alder;6.760741442012786
304;Diels-Alder;6.745137192707628
305;Diels-Alder;6.540547503094956
306;Diels-Alder;7.355649566038188
307;Diels-Alder;6.798030227993571
308;Diels-Alder;6.845733990561303
309;Diels-Alder;6.822835390808866
311;Diels-Alder;7.095416626603612
312;Diels-Alder;6.965614758136658
313;Diels-Alder;7.029375009996575
314;Diels-Alder;6.677438092102466
315;Diels-Alder;6.6972850506765225
316;Diels-Alder;6.753823387570894
317;Diels-Alder;7.5920326671371
318;Diels-Alder;8.185109842197894
319;Diels-Alder;8.07981121934765
320;Diels-Alder;7.394727652077146
321;Diels-Alder;6.650303715013878
322;Diels-Alder;7.00235155284407
323;Diels-Alder;6.82147637382723
324;Diels-Alder;7.465709504318742
325;Diels-Alder;6.831199409181135
326;Diels-Alder;8.116789993020017
327;Diels-Alder;6.944236703748055
328;Diels-Alder;7.211357088626383
329;Diels-Alder;6.898831140696826
330;Diels-Alder;6.795739081712157
331;Diels-Alder;6.822076163598916
332;Diels-Alder;6.972182677577749
333;Diels-Alder;6.8416422749995665
334;Diels-Alder;6.92974357942393
335;Diels-Alder;7.29285959423774
336;Diels-Alder;7.184457092308451
337;Diels-Alder;7.610643861652642
338;Diels-Alder;6.460706423419494
339;Diels-Alder;6.839576134465799
340;Diels-Alder;6.561793822527158
341;Diels-Alder;6.71742075536923
342;Diels-Alder;6.94864103106606
343;Diels-Alder;6.952928085772076
344;Diels-Alder;6.655107041497417
345;Diels-Alder;6.843526949687535
346;Diels-Alder;7.007928804532467
347;Diels-Alder;6.987016333551091
348;Diels-Alder;6.85347528206103
349;Diels-Alder;6.480185485920754
350;Diels-Alder;6.889210321339589
351;Diels-Alder;7.087279059993289
352;Diels-Alder;6.777551483516342
353;Diels-Alder;6.784557836841129
354;Diels-Alder;6.727767231816781
355;Diels-Alder;6.7699809786774345
356;Diels-Alder;8.288348764771687
357;Diels-Alder;7.350088145170007
358;Diels-Alder;7.312946767118964
359;Diels-Alder;6.699908344966953
360;Diels-Alder;7.2365574780257305
361;Diels-Alder;7.225674140786228
362;Diels-Alder;7.69097347938522
363;Diels-Alder;7.189554581478742
364;Diels-Alder;6.756947408278952
366;Diels-Alder;7.272120118174147
367;Diels-Alder;7.792099493897592
368;Diels-Alder;6.728554972757973
369;Diels-Alder;7.2947099781847555
370;Diels-Alder;6.758181439780071
371;Diels-Alder;7.521635059188247
372;Diels-Alder;9.359647564445716
373;Diels-Alder;6.633981648850135
374;Diels-Alder;7.19374623874132
375;Diels-Alder;6.8527214163343215
376;Diels-Alder;6.877494273255186
377;Diels-Alder;7.731746098066032
378;Diels-Alder;7.298681306965269
379;Diels-Alder;7.026432143430415
380;Diels-Alder;7.1249360074413515
381;Diels-Alder;6.928936616581113
382;Diels-Alder;6.61470890470153
383;Diels-Alder;6.992656089435679
384;Diels-Alder;6.620625398786173
385;Diels-Alder;6.871001915393867
386;Diels-Alder;7.49853315166809
387;Diels-Alder;8.313710189482597
388;Diels-Alder;6.761989717093972
389;Diels-Alder;6.702924945026687
390;Diels-Alder;6.460706423419494
391;Diels-Alder;6.994566031169576
392;Diels-Alder;7.368886708353259
393;Diels-Alder;6.581753148515491
394;Diels-Alder;6.795331603900564
395;Diels-Alder;7.328312116455779
396;Diels-Alder;7.224219338830164
397;Diels-Alder;7.2072673720475295
398;Diels-Alder;7.462425058090541
399;Diels-Alder;7.005956127224559
400;Diels-Alder;8.278615733913242
401;Diels-Alder;6.974493692222747
402;Diels-Alder;6.914222827388277
403;Diels-Alder;6.797220756031267
404;Diels-Alder;6.962517605940732
405;Diels-Alder;6.747344783186399
406;Diels-Alder;6.763700695978079
407;Diels-Alder;6.550551492202634
408;Diels-Alder;6.709058027706895
409;Diels-Alder;6.942815789721326
410;Diels-Alder;6.916269445214305
411;Diels-Alder;6.5736487096472445
412;Diels-Alder;7.548468977299848
413;Diels-Alder;8.143228047052064
414;Diels-Alder;7.251415933632341
415;Diels-Alder;6.875843699178799
416;Diels-Alder;6.753987442353064
417;Diels-Alder;7.015117512486704
418;Diels-Alder;6.915489239544069
419;Diels-Alder;6.685465884786241
420;Diels-Alder;6.8857657789935836
